Chẩn đoán T'/T (gần hằng số => chuẩn hoá theo độ lớn ~ chuẩn hoá theo độ nhạy):
  mm1      rho=[0.55 0.65 0.75 0.85 0.9  0.95 1.  ] -> T'/T = [ 2.2  2.9  4.   6.7 10.  20.  66.7]
  measured rho=[0.55 0.65 0.75 0.85 0.9  0.95 1.  ] -> T'/T = [5.5 6.4 7.3 7.9 8.3 6.7 5.5]

delay       z  sigF  Treg |  harm |      margin     history   magnitude sens(delta)  PROPAGATED     oracle*
mm1       0.5  0.03    20 | 0.013 |       0.922       0.955       0.957       0.972       0.986       0.989  <- suy biến
mm1       0.5  0.06    20 | 0.034 |       0.042       0.526       0.610       0.703       0.794       0.844
mm1       0.5  0.06   100 | 0.027 |       0.381       0.689       0.728       0.778       0.859       0.907
mm1       2.0  0.03    20 | 0.045 |       0.032       0.255       0.423       0.604       0.678       0.767
mm1       2.0  0.06   100 | 0.064 |       0.020       0.002       0.177       0.319       0.366       0.680
measured  0.5  0.03    20 | 0.013 |       0.926       0.957       0.962       0.963       0.979       0.984  <- suy biến
measured  0.5  0.06    20 | 0.037 |       0.250       0.599       0.718       0.723       0.761       0.820
measured  0.5  0.06   100 | 0.030 |       0.493       0.742       0.781       0.788       0.817       0.882
measured  2.0  0.03    20 | 0.049 |       0.128       0.380       0.606       0.606       0.635       0.730
measured  2.0  0.06   100 | 0.071 |       0.046       0.125       0.411       0.372       0.209       0.639
