ε = 0.5 ms, α = 1% (trên mọi epoch), κ = 0.01, N = 400000

== A_rang_buoc_can
luật                                  harm   missed     đổi  lợi ms  vô ích
(a) E[I|F] > 0                      5.241%   4.304%  59.87%  1.0725   0.10%
(b) tĩnh H, tiêu chí chung          0.997%  21.250%  31.00%  0.8610   0.00%
(b) odds, tiêu hết ngân sách        1.000%  12.954%  42.55%  0.9463   0.06%
(b) odds, KKT, κ=0 (λ=4.83)         1.000%  12.954%  42.55%  0.9463   0.06%
(b) odds, KKT, κ=0.01 (λ=4.75)      1.000%  12.954%  42.51%  0.9464   0.03%
(c) precision                       0.359%  17.530%  35.90%  0.8464   0.10%

== B_bat_dinh_ti_le
luật                                  harm   missed     đổi  lợi ms  vô ích
(a) E[I|F] > 0                      1.798%   1.253%  59.93%  1.0741   0.07%
(b) tĩnh H, tiêu chí chung          0.998%  12.536%  37.12%  0.9426   0.00%
(b) odds, tiêu hết ngân sách        1.000%  12.481%  37.20%  0.9435   0.00%
(b) odds, KKT, κ=0 (λ=26.03)        1.000%  12.481%  37.20%  0.9435   0.00%
(b) odds, KKT, κ=0.01 (λ=25.70)     1.000%  12.481%  37.20%  0.9435   0.00%
(c) precision                       0.000%  45.301%   0.00%  0.0000   0.00%

== C_mang_ranh
luật                                  harm   missed     đổi  lợi ms  vô ích
(a) E[I|F] > 0                      0.000%   0.000%  49.98%  0.1193  41.79%
(b) tĩnh H, tiêu chí chung          0.000%   0.010%  10.00%  0.0525   1.81%
(b) odds, tiêu hết ngân sách        1.000%   0.000%  95.64%  0.0273  87.45%
(b) odds, KKT, κ=0 (λ=0.00)         0.000%   0.000%  84.83%  0.0700  76.64%
(b) odds, KKT, κ=0.01 (λ=0.00)      0.000%   0.010%  10.00%  0.0525   1.81%
(c) precision                       0.956%   0.000%  95.56%  0.0277  87.37%
