poisson, bw = 4 Mb/s, q = 10, S = 3.024 ms; token bucket: 3 seed × 200000 gói
  rho |  OWD đo      TB  M/D/1/K | lệch TB lệch MDK |  loss đo  loss TB loss MDK
 0.60 |   1.016   0.964    2.396 |   -5.2%  +135.8% |   0.012%   0.001%   0.002%
 0.62 |   1.163   1.089    2.594 |   -6.3%  +123.1% |   0.002%   0.002%   0.004%
 0.64 |   1.299   1.235    2.812 |   -4.9%  +116.6% |   0.003%   0.002%   0.006%
 0.66 |   1.476   1.402    3.055 |   -5.0%  +107.0% |   0.009%   0.004%   0.011%
 0.68 |   1.680   1.595    3.326 |   -5.0%   +98.0% |   0.012%   0.006%   0.017%
 0.70 |   1.874   1.819    3.629 |   -2.9%   +93.7% |   0.030%   0.010%   0.028%
 0.72 |   2.185   2.083    3.969 |   -4.7%   +81.6% |   0.031%   0.017%   0.044%
 0.74 |   2.534   2.391    4.351 |   -5.7%   +71.7% |   0.059%   0.029%   0.069%
 0.76 |   2.914   2.749    4.781 |   -5.7%   +64.1% |   0.095%   0.050%   0.105%
 0.78 |   3.343   3.168    5.265 |   -5.2%   +57.5% |   0.139%   0.080%   0.159%
 0.80 |   3.734   3.652    5.810 |   -2.2%   +55.6% |   0.221%   0.129%   0.235%
 0.82 |   4.382   4.218    6.420 |   -3.7%   +46.5% |   0.320%   0.201%   0.344%
 0.84 |   4.986   4.870    7.100 |   -2.3%   +42.4% |   0.445%   0.306%   0.494%
 0.86 |   5.734   5.602    7.853 |   -2.3%   +37.0% |   0.607%   0.455%   0.697%
 0.88 |   6.563   6.435    8.680 |   -2.0%   +32.2% |   0.859%   0.664%   0.966%
 0.90 |   7.390   7.369    9.576 |   -0.3%   +29.6% |   1.132%   0.945%   1.315%
 0.92 |   8.403   8.405   10.536 |   +0.0%   +25.4% |   1.521%   1.324%   1.757%
 0.94 |   9.456   9.555   11.549 |   +1.0%   +22.1% |   2.068%   1.807%   2.302%
 0.96 |  10.612  10.753   12.601 |   +1.3%   +18.7% |   2.764%   2.423%   2.959%
 0.98 |  11.822  12.004   13.675 |   +1.5%   +15.7% |   3.495%   3.164%   3.731%
 1.00 |  12.975  13.293   14.754 |   +2.5%   +13.7% |   4.400%   4.031%   4.615%
 1.02 |  14.237  14.526   15.819 |   +2.0%   +11.1% |   5.371%   5.023%   5.606%
 1.04 |  15.094  15.729   16.853 |   +4.2%   +11.7% |   6.549%   6.126%   6.692%

sai số tương đối |OWD|: token bucket TB 3.3%, max 6.3%; M/D/1/K TB 57.0%, max 135.8%
