ô (c = 0)          thích nghi  an toàn thông tin | trần chặt trần x.xỉ | phân loại theo m = 8.1 ms
K11_r0.5_s03t10        -0.000    0.000     0.041 |     0.041    -0.000 | KHÔNG THỂ đạt m
K11_r0.5_s10t2         -0.001    0.000     0.137 |     0.137    -0.001 | KHÔNG THỂ đạt m
K11_r0.7_s03t10        -0.001    0.000     0.127 |     0.126    -0.001 | KHÔNG THỂ đạt m
K11_r0.7_s10t2          0.028    0.040     0.410 |     0.478     0.068 | KHÔNG THỂ đạt m
K11_r0.85_s03t10       -0.004    0.000     0.297 |     0.293    -0.004 | KHÔNG THỂ đạt m
K11_r0.85_s10t2         0.009    0.212     0.903 |     1.124     0.221 | KHÔNG THỂ đạt m
K11_r0.95_s03t10       -0.002   -0.002     0.428 |     0.424    -0.004 | KHÔNG THỂ đạt m
K11_r0.95_s10t2         0.009    0.312     1.134 |     1.455     0.321 | KHÔNG THỂ đạt m
K100_r0.5_s03t10        0.000    0.000     0.041 |     0.041     0.000 | KHÔNG THỂ đạt m
K100_r0.5_s10t2         0.001    0.000     0.141 |     0.142     0.001 | KHÔNG THỂ đạt m
K100_r0.7_s03t10        0.001    0.000     0.119 |     0.120     0.001 | KHÔNG THỂ đạt m
K100_r0.7_s10t2         0.009    0.066     0.577 |     0.653     0.076 | KHÔNG THỂ đạt m
K100_r0.85_s03t10       0.019    0.002     0.668 |     0.689     0.021 | KHÔNG THỂ đạt m
K100_r0.85_s10t2        0.222    2.280     8.393 |    10.895     2.502 | gần như không thể
K100_r0.95_s03t10      -0.012    0.605     9.384 |     9.977     0.593 | gần như không thể
K100_r0.95_s10t2        0.957    7.799    26.601 |    35.357     8.757 | kiểm được
P1_base                -0.000    0.000     0.273 |     0.273    -0.000 | KHÔNG THỂ đạt m
P1_age_only            -0.003    0.000     0.049 |     0.046    -0.003 | KHÔNG THỂ đạt m
P1_noise_only          -0.001    0.000     0.273 |     0.272    -0.001 | KHÔNG THỂ đạt m
P1_control              0.000    0.000     0.000 |     0.000     0.000 | KHÔNG THỂ đạt m
P2_base                 0.358    6.798    26.983 |    34.139     7.156 | gần như không thể
P2_age_only             1.413    6.571    19.147 |    27.131     7.984 | gần như không thể
P2_noise_only           1.063    6.491    19.384 |    26.938     7.554 | gần như không thể
P2_control              0.000    0.000     0.000 |     0.000     0.000 | KHÔNG THỂ đạt m

Số ô/biến thể thật sự kiểm được SESOI: 1/24
