start_set,direction,reference_no,citation_as_in_pdf,selected_for_followup,screen_note
OpenTwin,backward,1,"N. D. Tripathi and V. K. Shah, Fundamentals of O-RAN. Wiley, 2025.",0,outside current decision-risk question or background only
OpenTwin,backward,2,"B. Agarwal, R. Irmer, D. Lister, and G.-M. Muntean, “Open RAN for 6G networks: Architecture, use cases and open issues,” IEEE Commun. Surveys Tuts., 2026.",0,outside current decision-risk question or background only
OpenTwin,backward,3,"Z. Zhang, Z. Peng, H. Yu, M. Chen, and Y. Liu, “Digital network twins for next-generation wireless: Creation, optimization, and challenges,” IEEE Netw., 2025, early access.",0,outside current decision-risk question or background only
OpenTwin,backward,4,"ITU-T-3090, “Digital twin network – requirements and architecture,” In- ternational Telecommunication Union, Recommendation Y.3090, 2022.",0,outside current decision-risk question or background only
OpenTwin,backward,5,"ITU-R WP 5D, “IMT towards 2030 and beyond (IMT-2030),” 2023.",0,outside current decision-risk question or background only
OpenTwin,backward,6,"J. Yang, M. Andersin, T. Balercia, and C. Chong, “Developing next- generation wireless networks with NVIDIA aerial omniverse digital twin,” NVIDIA Developer Blog, 2024.",0,outside current decision-risk question or background only
OpenTwin,backward,7,"M. Polese, L. Bonati, S. D’Oro, P. Johari, D. Villa, S. Velumani, R. Gangula, M. Tsampazi, C. Paul Robinson, G. Gemmi, A. Lacava, S. Maxenti, H. Cheng, and T. Melodia, “Colosseum: The open RAN digital twin,” IEEE Open J. Commun. Soc., 2024.",0,outside current decision-risk question or background only
OpenTwin,backward,8,"T. Iye, M. Sakamoto, S. Takaya, E. Sato, Y. Susukida, Y. Nagaoka, K. Maruta, and J. Nakazato, “Open wireless digital twin: End-to-end 5G mobility emulation with OpenAirInterface and ray tracing,” IEEE Access, 2025.",0,outside current decision-risk question or background only
OpenTwin,backward,9,"Y. Deshpande, E. Sulkaj, and W. Kellerer, “TwinRAN: Twinning the 5G RAN in Azure cloud,” in Proc. IEEE/IFIP NOMS, 2025.",0,outside current decision-risk question or background only
OpenTwin,backward,10,"A. Lacava, M. Bordin, M. Polese, R. Sivaraj, T. Zugno, F. Cuomo, and T. Melodia, “ns-O-RAN: Simulating O-RAN 5G systems in ns-3,” in Proc. Workshop ns-3, 2023.",0,outside current decision-risk question or background only
OpenTwin,backward,11,"O. Simeone, S. Park, and M. Zecchin, “Conformal calibration: Ensuring the reliability of black-box AI in wireless systems,” IEEE Commun. Mag., 2026.",1,"title/venue relevance to calibration, digital twin, or runtime safety"
